word,confidence,bbox
_|,64.34957122802734,"0,0,26,40"
Miss,86.99696350097656,"67,7,131,27"
Alice,86.8900146484375,"149,7,219,27"
Roosevelt,87.5997085571289,"239,8,375,29"
led,87.33343505859375,"394,8,434,29"
a,95.21289825439453,"452,13,469,30"
life,52.1833610534668,"488,8,533,30"
from,95.83386993408203,"551,9,618,30"
11,80.09589385986328,"637,9,659,29"
|,20.318466186523438,"0,40,26,75"
a,27.731948852539062,"42,52,64,68"
m.,66.49591064453125,"89,53,120,68"
to,95.12089538574219,"148,52,172,69"
7:19,80.54986572265625,"194,49,239,68"
p.,83.66075134277344,"262,54,283,72"
m.,40.018577575683594,"308,54,339,69"
yesterday,95.93548583984375,"365,50,502,74"
that,96.16645812988281,"525,49,582,70"
was,96.16645812988281,"606,54,660,69"
:,34.71730041503906,"0,105,5,113"
|,77.097686767578125,"20,75,25,121"
Strenuous,88.563323974609375,"39,92,176,109"
enough,96.336090087890625,"189,90,288,112"
to,96.71990203857422,"304,93,330,110"
satisfy,96.42213439941406,"343,90,437,113"
her,96.68743133544922,"450,89,495,111"
"father,",96.32865905761719,"507,89,603,112"
the,96.26517486572266,"616,90,660,110"
‘,68.7512435913086,"0,145,3,160"
|,43.78809356689453,"20,124,25,164"
President,96.0703125,"44,129,173,149"
of,96.5036392211914,"188,130,214,149"
the,96.322723388671875,"228,130,271,149"
United,96.34331512451172,"286,129,377,150"
States.,95.1554183959961,"391,130,485,150"
She,96.89263916015625,"500,129,550,150"
dashed,96.209625244140625,"562,129,659,150"
|,46.84435272216797,"0,181,2,200"
&cross,9.698028564453125,"41,173,128,189"
town,92.2098617553711,"142,173,206,189"
to,95.81425476074219,"223,174,248,190"
the,96.22227478027344,"262,170,306,189"
Fair,85.32086944580078,"322,170,379,190"
"grounds,",95.610076904296875,"391,171,512,194"
saw,93.15984344482422,"526,175,579,190"
Gov-,92.47705841064453,"591,170,659,190"
||,48.976131439208984,"0,219,2,241"
ernor,76.84449768066406,"42,213,117,228"
Yates,96.65047454833984,"140,209,215,229"
at,95.64970397949219,"236,213,262,230"
the,95.64970397949219,"286,210,330,229"
Illinois,50.52275085449219,"352,210,448,230"
"building,",95.334320068359375,"467,209,587,234"
had,96.66209411621094,"608,208,657,229"
luncheon,96.57857513427734,"41,249,164,269"
at,96.03960418701172,"178,252,204,269"
the,96.575042724609375,"222,250,265,270"
West,95.8714370727539,"281,249,350,270"
Pavilion,95.61274719238281,"366,250,482,270"
on,96.98396301269531,"495,254,528,270"
Art,93.0617904663086,"542,250,592,270"
Hiil,73.59308624267578,"605,248,657,270"
and,95.61149597167969,"40,289,91,309"
“did,0,"108,289,181,308"
the,96.53059387207031,"199,289,242,310"
Philippine,95.05903625488281,"260,289,400,313"
concession.,95.68682861328125,"415,289,571,309"
Jt,87.53895568847656,"64,329,88,349"
was,95.65875244140625,"110,333,163,349"
a,95.98009490966797,"185,334,200,350"
swing,95.65379333496094,"221,334,303,352"
around,95.51081085205078,"324,331,420,351"
the,95.90592956542969,"442,329,486,349"
circle,96.15666198730469,"504,329,580,350"
that,96.26995849609375,"600,328,658,349"
|},44.5811653137207,"0,374,1,384"
thorouchiy,64.99259185791016,"41,369,195,392"
wearied,91.89021301269531,"220,369,328,390"
everybody,96.5947036743164,"350,368,496,392"
with,96.29594421386719,"519,369,582,389"
"her,",96.532440185546875,"604,368,659,390"
|,33.493019104003906,"0,411,2,415"
but,96.140472412109375,"40,401,85,420"
Miss,94.21683502197266,"104,401,164,420"
Roosevelt,20.167709350585938,"182,401,316,422"
seemed,95.217132568359375,"331,401,435,421"
as,95.217132568359375,"450,406,480,421"
fresh,95.413787841796875,"496,400,567,421"
when,96.05810546875,"584,399,656,420"
Danie!,93.816650390625,"42,433,130,452"
"Catlin,",92.32857513427734,"155,433,249,454"
Jr..,51.51922607421875,"272,433,319,455"
helped,96.54723358154297,"344,434,434,456"
her,96.9192886352539,"458,433,504,453"
Into,62.34419250488281,"528,433,581,452"
his,79.694671630859375,"617,431,658,452"
phacton,73.56401824951172,"40,464,150,488"
after,96.25342559814453,"168,466,236,485"
the,96.60429382324219,"256,465,300,485"
Scouts’,92.77274322509766,"319,465,416,485"
drili,86.20137786865234,"438,464,495,486"
at,96.07735443115234,"514,467,542,485"
7:10,96.279388427734375,"562,464,609,484"
as!,88.29430389404297,"626,460,675,484"
if,95.73216247558594,"40,497,62,516"
she,95.73216247558594,"80,498,125,516"
were,96.80670928955078,"147,502,213,517"
just,80.161224365234375,"232,499,284,520"
starting,95.86534118652344,"306,499,419,520"
out.,96.64234161376953,"438,499,491,517"
It,94.0787353515625,"525,497,547,517"
was,96.70249938964844,"568,501,622,517"
a!,71.990264892578125,"641,488,673,518"
iypical,91.87613677978516,"41,530,134,552"
sightseeing,96.07337188720703,"151,530,311,553"
tour,96.452606201171875,"330,533,387,549"
In,87.09710693359375,"405,531,430,550"
which,95.199554443359375,"449,529,532,550"
a,96.00560760498047,"549,533,565,549"
great,92.68195343017578,"581,511,643,557"
|,92.68195343017578,"661,515,673,548"
|,94.753936767578125,"17,529,22,595"
das,53.848358154296875,"43,563,95,582"
Was,77.06103515625,"121,567,175,582"
crowded,88.59673309326172,"196,563,311,583"
Into,80.02107238769531,"336,563,389,582"
very,96.63085174560547,"413,567,475,586"
little,81.730010986328125,"498,561,565,583"
time,95.24574279785156,"588,562,656,582"
|},68.0097885131836,"18,600,21,605"
Hundreds,95.53169250488281,"42,594,176,615"
of,95.53169250488281,"195,595,222,615"
people,96.0540771484375,"239,595,326,618"
saw,96.32866668701172,"343,600,396,614"
the,96.81953430175781,"416,595,460,615"
young,93.00457763671875,"477,599,561,618"
wom-,91.9311752319336,"579,598,656,613"
an’s,69.99757385253906,"39,627,95,646"
sWinging,90.78511047363281,"109,630,234,650"
atride,90.95564270019531,"246,630,329,647"
around,95.8747329711914,"343,627,440,648"
the,93.28448486328125,"456,626,500,648"
Philipp.ne,54.11033248901367,"515,626,657,650"
concession;,95.26074981689453,"38,659,197,681"
a,96.55473327636719,"212,665,226,679"
pace,95.41230010986328,"244,664,305,682"
that,96.449127197265625,"321,660,376,680"
made,95.77101135253906,"394,659,469,679"
some,94.410430908203125,"484,664,555,678"
of,95.97499084472656,"569,658,597,679"
the,95.97499084472656,"611,659,657,678"
veteran,91.82144927978516,"39,694,143,711"
globe-trotters,88.662109375,"159,692,354,714"
with,96.29606628417969,"372,691,434,712"
her,91.104400634765625,"450,692,495,711"
Ured;,87.24681854248047,"510,691,585,713"
saw.,91.00110626220703,"600,694,655,710"
her,96.81853485107422,"39,724,83,742"
shake,93.35545349121094,"102,723,183,743"
bands,78.43927001953125,"203,725,284,743"
with,95.89807891845703,"305,724,365,744"
the,96.157501220703125,"386,724,427,744"
natives,95.58281707763672,"446,723,547,744"
of,95.51133728027344,"564,722,593,743"
the,95.51133728027344,"612,723,656,743"
Philippines,96.106353759765625,"39,755,192,778"
and,96.51942443847656,"216,757,264,776"
applaud,95.55873107910156,"288,756,398,779"
the,96.67566680908203,"422,757,465,776"
drills,91.25245666503906,"498,754,571,775"
and,91.25245666503906,"604,753,654,775"
"dances,",73.22757720947266,"38,788,139,810"
and,95.65568542480469,"157,790,206,808"
it,95.440277099609375,"224,792,243,808"
was,90.80875396728516,"262,793,315,808"
quite,96.3012466430664,"329,792,398,812"
evident,96.3626937866211,"413,788,517,808"
that,95.20855712890625,"534,788,592,807"
she,96.11024475097656,"607,787,656,806"
enjoyed,87.76499938964844,"37,821,144,843"
every,93.51628875732422,"161,826,237,844"
minute,96.80323791503906,"255,822,352,840"
of,96.43658447265625,"368,821,395,841"
her,95.9409408569336,"413,821,458,840"
time.,88.47917175292969,"475,822,544,840"
Miss,92.37764739990234,"59,852,120,872"
Roosevelt,86.75593566894531,"135,854,269,873"
was,95.41883850097656,"285,859,337,873"
enthusiastic,88.52429962158203,"349,854,520,874"
over,96.117767333984375,"534,856,596,872"
the,96.34132385253906,"607,853,652,872"
Igorrotes;,81.99163818359375,"36,885,175,908"
favorably,95.9354019165039,"194,887,328,906"
commented,95.80457305908203,"348,886,507,906"
on,96.146148681640625,"525,891,559,905"
other,96.56050872802734,"576,885,651,905"
things,96.04786682128906,"36,917,122,940"
that,95.07252502441406,"144,920,201,938"
she,93.86888885498047,"222,924,269,938"
saw,95.33550262451172,"290,923,342,938"
in,65.20609283447266,"364,919,389,938"
the,93.22440338134766,"412,919,456,938"
humen,90.91947937011719,"477,915,574,937"
way,96.8460922241211,"594,922,648,940"
|,49.84349060058594,"14,962,18,978"
and,80.66185760498047,"35,951,83,970"
politely,95.5553970336914,"96,951,202,973"
commended,71.0985107421875,"216,952,381,971"
the,96.41448211669922,"396,950,439,970"
inanimate,0,"452,950,593,970"
ob-,91.6564712524414,"606,950,650,969"
|,93.24128723144531,"14,986,17,1007"
Jects,87.71324157714844,"34,987,102,1005"
she,96.62915802001953,"116,984,161,1002"
was,96.62915802001953,"178,988,232,1003"
shown,96.53267669677734,"247,984,335,1003"
in,96.07027435302734,"351,988,376,1003"
the,96.48027038574219,"392,984,436,1003"
various,93.27783966064453,"450,986,555,1003"
build-,90.54212951660156,"569,982,650,1002"
i,28.81354522705078,"13,1012,16,1031"
ings.,74.72900390625,"34,1019,98,1037"
“Not,96.285400390625,"60,1048,124,1068"
very,95.3271484375,"141,1053,203,1072"
"good,”",65.30738830566406,"216,1049,306,1070"
was,92.50634002685547,"323,1054,375,1068"
her,96.73661041259766,"390,1049,436,1068"
remark,95.720794677734375,"449,1048,552,1068"
of,96.2076644897461,"564,1049,592,1069"
the,96.20877838134766,"605,1048,649,1068"
|,73.94557189941406,"12,1081,16,1103"
of!,48.16206359863281,"33,1080,65,1099"
painting,96.047210693359375,"87,1082,204,1103"
of,89.4635009765625,"223,1089,247,1102"
her,96.290313720703125,"272,1084,315,1101"
"father,",95.00086975097656,"338,1083,431,1103"
painted,96.31925964355469,"453,1081,557,1104"
by,96.48836517333984,"580,1080,612,1103"
a,96.33808898925781,"632,1085,648,1100"
"Filipiso,",72.64177703857422,"35,1113,149,1136"
that,95.99248504638672,"173,1115,229,1134"
hangs,95.69242858886719,"254,1115,337,1135"
in,88.8954849243164,"370,1119,395,1133"
the,88.8954849243164,"430,1113,474,1134"
Philippine,96.03180694580078,"506,1113,648,1137"
Government,52.59328842163086,"32,1146,203,1166"
building.,26.07513427734375,"227,1146,346,1168"
It,90.186798095703125,"381,1146,403,1166"
was,95.88506317138672,"425,1151,478,1167"
not,94.75531768798828,"498,1150,543,1166"
a,92.87029266357422,"562,1152,578,1166"
dis-,91.07991027832031,"598,1147,647,1164"
paraging,88.21893310546875,"34,1182,156,1201"
"remark,",93.20466613769531,"190,1184,298,1200"
but,94.98042297363281,"321,1180,364,1199"
one,96.91728973388672,"384,1184,432,1199"
that,96.0673828125,"453,1179,510,1199"
frankly,95.9383773803711,"543,1179,646,1200"
stated,84.0317153930664,"32,1213,115,1230"
her,93.24913787841797,"143,1212,186,1230"
indtvidual,90.71398162841797,"211,1211,349,1231"
judgment,27.712791442871094,"373,1212,508,1234"
of,93.89305877685547,"541,1212,570,1232"
the,94.00507354736328,"603,1211,646,1231"
painting,94.80908966064453,"32,1248,147,1266"
of,95.43310546875,"165,1244,193,1263"
President,95.2957534790039,"213,1244,346,1264"
Roosevelt.,34.11994934082031,"366,1244,509,1263"
“Wonderful”,70.05756378173828,"57,1276,245,1295"
was,95.31101989746094,"268,1281,320,1295"
her,96.69290924072266,"341,1277,385,1296"
favorite,94.99163055419922,"403,1277,515,1296"
word,96.25645446777344,"532,1277,601,1297"
of,95.10027313232422,"619,1277,647,1296"
commendation,93.92625427246094,"31,1312,234,1328"
of,95.14044952392578,"266,1309,293,1328"
the,96.3302230834961,"323,1310,367,1328"
things,95.55586242675781,"397,1309,484,1328"
she,95.30116271972656,"514,1309,561,1329"
was,96.797332763671875,"595,1314,649,1329"
shown,95.35762023925781,"31,1340,119,1360"
in,95.35762023925781,"135,1345,158,1360"
the,95.49531555175781,"176,1341,217,1360"
Manila,96.15943145751953,"236,1341,329,1360"
building,96.48064422607422,"344,1341,459,1363"
and,96.48064422607422,"470,1342,521,1361"
the,93.247039794921875,"536,1342,582,1362"
As-,72.6922607421875,"595,1343,645,1362"
ricultural,85.80488586425781,"30,1374,162,1392"
"butiding,",40.469482421875,"178,1376,296,1393"
the,96.905303955078125,"311,1373,356,1392"
word,96.69615936279297,"370,1374,437,1393"
referring,92.71635437011719,"450,1374,576,1399"
par-,91.00508117675781,"589,1379,646,1396"
ticularly,60.589569091796875,"32,1406,149,1424"
to,95.29862213134766,"164,1409,190,1424"
the,96.44783020019531,"205,1408,247,1425"
work,95.43241119384766,"262,1407,332,1426"
of,95.2726821899414,"346,1406,374,1425"
the,95.19035339355469,"389,1406,433,1425"
natives,96.11344909667969,"447,1407,549,1427"
in,93.18609619140625,"562,1407,588,1427"
va-,92.60343933105469,"600,1412,645,1428"
rious,92.66686248779297,"31,1443,84,1457"
phases.,94.99072265625,"113,1439,211,1458"
“Where,94.82817840576172,"55,1471,163,1489"
are,95.45411682128906,"188,1476,223,1488"
the,96.05652618408203,"242,1471,285,1489"
people?”,88.219818115234375,"302,1471,421,1492"
was,96.67756652832031,"440,1476,493,1492"
the,93.26573181152344,"509,1472,555,1492"
quess,74.64300537109375,"568,1476,645,1496"
tion,92.72699737548828,"32,1504,82,1522"
that,96.07080841064453,"106,1507,160,1522"
she,96.8058853149414,"181,1502,218,1521"
propounded,96.08638000488281,"248,1504,408,1525"
soon,92.68955993652344,"428,1509,488,1524"
aftem,45.69841766357422,"509,1505,582,1525"
her,96.58161926269531,"600,1505,645,1526"
arrive!,94.80427551269531,"29,1534,123,1554"
at,96.43916320800781,"144,1538,171,1554"
the,96.46955108642578,"193,1536,235,1554"
Philippine,93.11555480957031,"257,1535,397,1557"
"concessien,",91.58203125,"417,1536,574,1559"
and,96.6897964477539,"594,1538,643,1558"
so,41.10905456542969,"30,1573,58,1586"
she,96.64073944091797,"77,1568,124,1587"
was,95.54083251953125,"146,1573,200,1586"
taken,96.109710693359375,"221,1567,299,1587"
first,95.940673828125,"321,1568,377,1587"
through,95.287750244140625,"400,1568,510,1592"
the,91.36994934082031,"532,1569,576,1590"
vil-,90.86003875732422,"596,1571,643,1591"
lages.,65.929107666015625,"30,1600,107,1619"
PRESIDENT'’S,39.3067741394043,"28,1640,246,1659"
DAUCGHTER,29.61676788330078,"260,1640,448,1660"
WAS,93.76619720458984,"29,1680,101,1698"
EARLY,66.92388916015625,"120,1680,228,1698"
KISER.,0,"254,1680,367,1699"
;,35.60296630859375,"656,1682,662,1728"
|,81.23514556884766,"6,1717,11,1741"
Miss,81.23514556884766,"50,1719,109,1739"
Roosevelt,84.26570129394531,"141,1722,272,1740"
was,95.88104248046875,"303,1726,356,1740"
told,96.34423065185547,"384,1721,435,1742"
her,96.34423065185547,"462,1723,508,1742"
day,95.61687469482422,"532,1725,584,1748"
of,94.9179458618164,"612,1725,642,1746"
jhard,10.829765319824219,"7,1743,90,1771"
work,95.444366455078125,"115,1758,181,1771"
es,32.80232238769531,"206,1761,225,1771"
tly,66.68217468261719,"239,1758,271,1775"
yesterday,94.237579345703125,"299,1758,435,1777"
"morning,",88.27831268310547,"458,1756,581,1779"
for,96.28153228759766,"603,1757,644,1778"
she,95.906585693359375,"30,1785,63,1803"
was,91.01546478271484,"96,1791,147,1804"
among,15.766532897949219,"173,1791,264,1805"
the,96.91715240478516,"292,1789,335,1805"
early,96.6257553100586,"357,1787,427,1811"
risers,91.2813491821289,"449,1788,527,1808"
in,92.00499725341797,"549,1791,575,1809"
the,92.00499725341797,"599,1790,642,1809"
Catlin,90.20104217529297,"28,1818,109,1835"
residence,82.88700866699219,"136,1818,265,1836"
at,94.71688079833984,"291,1823,318,1839"
No.,89.47599792480469,"346,1819,390,1839"
21,64.04297637939453,"416,1820,437,1840"
Vandeventer,91.37909698486328,"464,1820,642,1843"
place.,90.11134338378906,"27,1849,102,1872"
She,69.71745300292969,"136,1850,185,1870"
read,96.4429931640625,"204,1851,263,1869"
numerous,95.41118621826172,"282,1856,417,1872"
letters,89.70787048339844,"434,1853,522,1874"
and,90.985504150390625,"536,1854,588,1874"
in-,90.985504150390625,"605,1856,640,1875"
|,81.02409362792969,"675,1851,676,1854"
"Vitations,",55.95539474487305,"28,1881,155,1903"
and,92.209075927734375,"180,1883,229,1902"
at,95.63377380371094,"252,1885,278,1902"
11,23.551300048828125,"303,1884,322,1903"
o'clock,67.50688171386719,"346,1884,443,1904"
she,84.34318542480469,"464,1885,512,1905"
climbed,95.33045196533203,"532,1885,641,1906"
I,45.14162063598633,"654,1875,676,1918"
into,80.73656463623047,"27,1913,80,1933"
the,92.9465103149414,"101,1915,142,1933"
pheeton,49.48505401611328,"162,1915,272,1937"
with,96.50479888916016,"292,1916,352,1936"
Daniel,67.62321472167969,"373,1917,461,1937"
"Catlin,",92.83984375,"481,1918,575,1941"
"Jr.,",64.76343536376953,"594,1919,641,1941"
and,96.42667388916016,"25,1947,75,1966"
the,96.08490753173828,"96,1948,138,1967"
other,86.90375518798828,"156,1949,230,1968"
members,95.179412841796875,"250,1950,377,1969"
of,95.85650634765625,"397,1949,424,1970"
